Task,Language,Library,Payload,Memory_Used_MB_Average,Memory_Used_MB_Median,Memory_Used_MB_Std_Dev,Billed_Duration_MS_Average,Billed_Duration_MS_Median,Billed_Duration_MS_Std_Dev,Billed_Duration_Init_Value
invmatrix,python,plain,0,39.0,39.0,0.0,1.7049999999999998,1.5,0.3731956591387419,1.77
invmatrix,python,plain,1,39.0,39.0,0.0,2.3125,2.07,0.45532268777208995,2.04
invmatrix,python,plain,2,40.0,40.0,0.0,14.085,13.925,4.531018097514068,11.57
invmatrix,python,plain,3,40.0,40.0,0.0,338.3425,339.15,7.206987494785879,341.44
invmatrix,python,nump,0,63.0,63.0,0.0,1.6975,1.71,0.12397076268217441,28.20
invmatrix,python,nump,1,63.5,63.5,0.5,1.8325,1.83,0.05494315243958975,2.09
invmatrix,python,nump,2,64.0,64.0,0.0,13.712499999999999,12.09,11.021137361905984,18.57
invmatrix,python,nump,3,64.0,64.0,0.0,58.150000000000006,55.695,5.012349748371514,77.62
invmatrix,python,pand,0,105.0,105.0,0.0,6.4,2.215,7.396630989849365,12.28
invmatrix,python,pand,1,105.5,105.5,0.5,2.4924999999999997,2.465,0.07595228765481661,2.40
invmatrix,python,pand,2,106.0,106.0,0.0,13.362499999999999,12.51,6.07124935659869,8.87
invmatrix,python,pand,3,107.0,107.0,0.0,76.415,76.225,4.284393189239288,69.72
invmatrix,python,sci_py,0,82.0,82.0,0.0,1.955,1.8199999999999998,0.5200240379059414,284.20
invmatrix,python,sci_py,1,82.5,82.5,0.5,2.17,1.915,0.5102450391723569,2.04
invmatrix,python,sci_py,2,83.0,83.0,0.0,2.9575,2.96,0.07725768570181221,3.12
invmatrix,python,sci_py,3,84.0,84.0,0.0,54.879999999999995,55.16,5.484678659684631,59.66
invmatrix,node,plain,0,64.0,64.0,0.0,1.735,1.53,0.43963052669258545,4.86
invmatrix,node,plain,1,65.0,65.0,0.0,12.834999999999999,10.275,11.787778628732388,75.00
invmatrix,node,plain,2,68.25,68.5,0.82915619758885,11.6225,12.184999999999999,6.479997588734118,21.96
invmatrix,node,plain,3,72.25,72.0,0.4330127018922193,86.32,50.315,75.09935119559955,236.29
invmatrix,node,mathjs,0,117.0,117.0,0.0,15.875,1.75,24.62720599256034,297.30
invmatrix,node,mathjs,1,117.75,118.0,0.4330127018922193,2.125,2.0300000000000002,0.28508770580296866,17.39
invmatrix,node,mathjs,2,118.0,118.0,0.0,62.235,41.905,60.64209532164931,20.60
invmatrix,node,mathjs,3,118.0,118.0,0.0,86.64000000000001,88.6,9.35583240551048,591.18
invmatrix,net,mnet,0,64.75,65.0,0.4330127018922193,7.1175,3.87,7.1987546666072735,657.59
invmatrix,net,mnet,1,65.5,65.5,0.5,5.13,5.22,3.482599603744306,1.62
invmatrix,net,mnet,2,66.25,66.0,0.4330127018922193,3.6025000000000005,3.68,1.8376666591087734,19.70
invmatrix,net,mnet,3,68.25,68.0,0.4330127018922193,42.082499999999996,24.665,44.479977166698276,32.15
invmatrix,java,math3,0,84.75,85.0,0.4330127018922193,2.2975,1.995,0.5629997779750895,472.94
invmatrix,java,math3,1,85.0,85.0,0.0,9.5125,8.57,5.3100865105947195,3.44
invmatrix,java,math3,2,87.75,87.5,1.479019945774904,123.195,126.19,15.793634002344108,85.61
invmatrix,java,math3,3,92.0,92.0,0.0,393.84499999999997,397.36,116.26501634197624,706.32
invmatrix,go,gonum,0,31.75,32.0,0.4330127018922193,1.3175,1.305,0.11648497757221744,100.17
invmatrix,go,gonum,1,32.0,32.0,0.0,1.5175,1.335,0.35548382522978444,1.30
invmatrix,go,gonum,2,33.0,33.0,0.0,1.4975,1.495,0.03766629793329844,1.83
invmatrix,go,gonum,3,34.75,35.0,0.4330127018922193,2.455,2.4450000000000003,0.08139410298049855,3.34
hashing,go,gocrypto,0,29.75,30.0,0.4330127018922193,1.2075,1.2149999999999999,0.06647367900154164,1.75
hashing,go,gocrypto,1,30.75,31.0,0.4330127018922193,1.65,1.67,0.0748331477354788,1.74
hashing,go,gocrypto,2,32.5,32.5,0.5,2.315,2.25,0.5829879930152935,2.14
hashing,go,gocrypto,3,34.25,34.0,0.4330127018922193,4.7225,1.9649999999999999,4.802209777800216,2.20
hashing,java,javasec,0,82.0,82.0,0.0,1.6675,1.62,0.15303185942802885,200.93
hashing,java,javasec,1,84.0,84.0,0.0,77.01,72.50999999999999,20.924351841813408,90.55
hashing,java,javasec,2,85.0,85.0,0.0,10.982500000000002,7.295,9.55188822955964,13.37
hashing,java,javasec,3,85.0,85.0,0.0,2.9575,2.935,0.13626720074911636,13.49
